Date,Close,High,Low,Open,Volume
2014-03-17,4.711997032165527,4.85016815549002,4.425025639793251,4.425025639793251,68200
2014-03-18,5.048569679260254,5.2788551786035995,4.694284087733219,4.711998434884184,135600
2014-03-19,4.959996223449707,5.1017102661133835,4.90685354191906,5.013138904980353,25600
2014-03-20,4.959996223449707,4.959996223449707,4.889493292947593,4.959996223449707,8200
2014-03-21,4.690741062164307,4.924569494097633,4.605712602892745,4.924569494097633,10600
2014-03-24,4.400226593017578,4.623426531837082,4.269140979020034,4.623426531837082,57400
2014-03-25,4.7615966796875,4.7615966796875,4.3222827676850475,4.463997161728813,8200
2014-03-26,4.417940616607666,4.74742592698738,4.339997706057698,4.463997775665693,25200
2014-03-27,4.651767730712891,4.676567602663,4.446282208595921,4.446282208595921,50600
2014-03-28,4.605710983276367,4.605710983276367,4.6014595280205235,4.6014595280205235,4200
2014-03-31,4.648225784301758,4.743883032815285,4.623425907075133,4.743883032815285,43200
2014-04-01,4.634053707122803,4.676567921019817,4.625196705929943,4.676567921019817,14600
2014-04-02,4.609253883361816,4.641139628597852,4.534853923768714,4.641139628597852,9800
2014-04-03,4.563196659088135,4.637596617470607,4.538396785584956,4.637596617470607,9400
2014-04-04,4.435654640197754,4.58445423995907,4.428568767989938,4.58445423995907,20800
2014-04-07,4.428569316864014,4.432112253407031,4.251426544189453,4.428569316864014,22600
2014-04-08,4.304568290710449,4.4285683393617585,4.254968541548286,4.4250254036007615,17000
2014-04-09,4.251425743103027,4.3045684297426305,4.212454462092182,4.292877011652081,8000
2014-04-10,4.254969120025635,4.262054654637981,4.163563324628086,4.21599749710224,70600
2014-04-11,4.24079704284668,4.24079704284668,4.21883124706049,4.21883124706049,13600
2014-04-14,4.230169296264648,4.230169296264648,4.127426500815638,4.1628551907799975,15200
2014-04-15,4.15222692489624,4.198284088985198,4.127426705541851,4.127426705541851,18800
2014-04-16,4.215997695922852,4.233712040098597,4.177026409034621,4.180569345444373,15400
2014-04-17,4.251425743103027,4.258511614853887,4.230168465723409,4.233711401598839,79200
2014-04-21,4.145141124725342,4.254969800706833,4.127426778551159,4.254969800706833,8600
2014-04-22,4.169939994812012,4.2443396164907705,4.156477109592157,4.1593111878239535,10800
2014-04-23,4.162854194641113,4.215996878997991,3.716454429700729,4.138054320324296,33800
2014-04-24,3.989255666732788,4.109712816628952,3.9718957491928606,4.109712816628952,8000
2014-04-25,4.166397571563721,4.24079754026568,4.017597634159803,4.017597634159803,7200
2014-04-28,4.180569171905518,4.247883271531472,4.177026235642836,4.240797736879108,23800
2014-04-29,4.194740295410156,4.247882984264562,4.1486831407289495,4.1486831407289495,12400
2014-04-30,4.102625846862793,4.127425722437096,4.095540312929977,4.127425722437096,1200
2014-05-01,4.1309685707092285,4.143368508233339,4.1309685707092285,4.143368508233339,1400
2014-05-02,4.15222692489624,4.233712442833826,4.15222692489624,4.233712442833826,2200
2014-05-05,4.162854194641113,4.233711219741266,4.060111423777655,4.177025599661143,22400
2014-05-06,4.074284076690674,4.155769596045423,4.074284076690674,4.155769596045423,1400
2014-05-07,4.173482894897461,4.180568766736081,4.042397306739696,4.152225955127535,6000
2014-05-08,4.180569171905518,4.180569171905518,4.180569171905518,4.180569171905518,16800
2014-05-09,4.084911823272705,4.155768857482619,4.084911823272705,4.1486833229981235,4000
2014-05-12,4.180569171905518,4.187654706557882,4.146203433478104,4.152226357550063,11800
2014-05-13,4.10971212387085,4.113254722250063,4.03885475031863,4.077826373346951,12200
2014-05-14,4.09235143661499,4.177025779532878,4.003425976093684,4.003425976093684,9600
2014-05-15,4.074284076690674,4.074284076690674,4.053026793713363,4.053026793713363,2200
2014-05-16,4.07073974609375,4.07073974609375,4.028225532568703,4.028225532568703,1200
2014-05-19,4.003425121307373,4.021139459031211,3.978624913344844,4.003425121307373,28200
2014-05-20,4.056568622589111,4.056568622589111,3.9679972538082446,3.9679972538082446,8400
2014-05-21,4.053024768829346,4.056567703867695,4.035310769383361,4.056567703867695,2800
2014-05-22,4.053024768829346,4.053024768829346,3.9130822135433583,4.045939236625529,4400
2014-05-23,4.053024768829346,4.053024768829346,4.053024768829346,4.053024768829346,0
2014-05-27,3.911311388015747,3.9361112616090113,3.9042258546489306,3.9042258546489306,6200
2014-05-28,4.031769275665283,4.031769275665283,3.9006836732403958,3.9006836732403958,400
2014-05-29,4.031769275665283,4.038854810402114,3.9006836732403958,3.9006836732403958,13000
2014-05-30,3.967999219894409,4.035313682730067,3.914856507443628,3.9183994450398467,4200
2014-06-02,3.8971405029296875,3.9679975354083576,3.8971405029296875,3.9679975354083576,16200
2014-06-03,3.9042253494262695,3.9361107522602494,3.8971394791034566,3.8971394791034566,32600
2014-06-04,3.9254837036132812,3.967997927299311,3.8971408878225944,3.8971408878225944,23600
2014-06-05,4.024682521820068,4.07428260560957,3.9183971589285966,3.9219397565848313,71200
2014-06-06,4.035312652587891,4.0388552514066225,3.9219410435624806,4.003426898108026,9400
2014-06-09,4.053024768829346,4.067196171109862,4.03885336654883,4.049482171663878,12200
2014-06-10,4.06365442276001,4.06365442276001,3.978625653443232,4.053025615424818,34400
2014-06-11,4.014055252075195,4.0282266605518195,3.939655273104665,4.010512315487782,25800
2014-06-12,4.074284076690674,4.1043983638159185,4.006969966696449,4.031769848609103,91600
2014-06-13,4.07073974609375,4.095539957388062,3.9609114456222794,4.081368552879713,33000
2014-06-16,4.247883319854736,4.251426256157721,4.017597866128727,4.017597866128727,88200
2014-06-17,4.106168746948242,4.247882803098059,3.9148546022095085,4.247882803098059,101200
2014-06-18,4.244340419769287,4.251426292435722,4.060112122791035,4.223083477515992,64000
2014-06-19,4.247883319854736,4.247883319854736,4.074283495484483,4.205369097837919,72000
2014-06-20,3.8510828018188477,4.240796932055415,3.723540161424503,4.038853995756534,256600
2014-06-23,4.067197322845459,4.109711879599022,3.8971404473231157,4.017597569754598,50600
