Date,Predicted Close
2026-09-09,37.03284
2026-09-10,36.923244
2026-09-11,36.740097
2026-09-14,36.469906
2026-09-15,36.123146
2026-09-16,35.71852
2026-09-17,35.278152
2026-09-18,34.82502
2026-09-21,34.380306
2026-09-22,33.961514
2026-09-23,33.58124
2026-09-24,33.249073
2026-09-25,32.96937
2026-09-28,32.740974
2026-09-29,32.558296
2026-09-30,32.41229
2026-10-01,32.292557
2026-10-02,32.18938
2026-10-05,32.094997
2026-10-06,32.003796
2026-10-07,31.912256
2026-10-08,31.81851
2026-10-09,31.72184
2026-10-12,31.622318
2026-10-13,31.520502
2026-10-14,31.41718
2026-10-15,31.31319
2026-10-16,31.209356
2026-10-19,31.106384
2026-10-20,31.004887
