Date,Close,High,Low,Open,Volume
2000-01-03,35.37700271606445,36.002976490665056,33.99227285103888,35.62359844545257,53228400
2000-01-04,34.181968688964844,35.54772992404002,34.06815525270858,34.46650227960551,54119000
2000-01-05,34.542388916015625,35.32011431170846,33.19559615762073,33.72672569614266,64059600
2000-01-06,33.38527297973633,34.561345096067946,32.89208144708113,34.04918465831063,54976600
2000-01-07,33.82156753540039,34.06816337273085,32.569619438184226,32.96796656002573,62013600
2000-01-10,34.068153381347656,34.504438196364916,33.80258871133715,34.42856257636191,44963600
2000-01-11,33.19558334350586,34.675157915387835,32.986925391060964,33.84052610560826,46743600
2000-01-12,32.11437225341797,33.04384906406031,31.69705613435406,32.93003557704288,66532400
2000-01-13,32.72136306762695,32.96795884726704,30.805503548884737,31.67807323068812,83144000
2000-01-14,34.068153381347656,34.58031381636792,32.09538726126962,32.53167207628688,73416400
2000-01-18,34.99763107299805,35.35804028187987,33.91640344635258,33.9353723520832,81483600
2000-01-19,32.47476577758789,33.84052695515,32.1712632936852,33.53702447124731,97568200
2000-01-20,32.1712646484375,33.29043010495744,32.133326836352076,32.49373605116359,56349800
2000-01-21,31.488388061523438,32.55064693588808,31.33663679375706,32.474771302004896,68416200
2000-01-24,30.729631423950195,32.076423912283815,30.596849065945474,31.502614436620547,63597600
2000-01-25,31.203855514526367,31.526326969691684,30.21747223990304,30.653757149832586,59823200
2000-01-26,30.16055679321289,31.41250443368588,30.08468117863877,31.090033071745868,49365000
2000-01-27,29.970870971679688,30.71065829313254,29.515617235401006,30.317053500308266,63654800
2000-01-28,29.81912612915039,30.426131241194163,29.5156235731285,29.781188309647654,58225400
2000-01-31,29.705299377441406,29.800143883755077,28.794792116830177,29.62942377239047,73194200
2000-02-01,31.241792678833008,31.336637222484597,29.648404345486334,29.895000158980462,70196600
2000-02-02,30.596826553344727,31.545271269815423,30.501982081697655,31.09001780590949,49915600
2000-02-03,31.450450897216797,31.621171076996625,30.388192000808996,30.976228175606174,49186000
2000-02-04,32.341976165771484,32.77826088824231,31.606931252913043,31.678064631576763,55365400
2000-02-07,32.3609619140625,32.43683755747179,31.640143301674236,32.41786864661947,40005800
2000-02-08,33.36631393432617,33.38528284503358,32.304054934711466,32.304054934711466,56229000
2000-02-09,31.564254760742188,33.214549330564644,31.52631695453937,33.214549330564644,55090000
2000-02-10,32.1712646484375,32.3419848028219,31.109005910045695,31.53106406949601,54527800
2000-02-11,30.33127784729004,31.829821280645834,30.084682092434026,31.829821280645834,115559000
2000-02-14,30.236425399780273,30.8813679741796,30.06570530655692,30.72487455539153,81028600
2000-02-15,29.913972854614258,30.35025781064224,29.781190476692696,30.274382166115632,71027600
2000-02-16,29.629425048828125,30.407150034104664,29.477673832188803,30.12261650290593,65202600
2000-02-17,30.236425399780273,30.255394299027312,29.48241165471047,29.89498521333357,80343400
2000-02-18,28.851696014404297,30.36920796782464,28.794789316151032,30.350239068406886,79063000
2000-02-22,28.472322463989258,29.477674289832983,28.1688200259987,28.870669413851864,66296200
2000-02-23,28.605112075805664,29.060365848895408,27.941200323383118,28.37748518926079,75847200
2000-02-24,28.75687026977539,29.098310681949506,27.92223815112756,28.605118975475786,69733200
2000-02-25,27.713571548461914,28.74263469459748,27.466975771507773,28.737892468117593,65301400
2000-02-28,27.789443969726562,27.960164103328975,26.746154264378465,27.391096991320925,76131800
2000-02-29,27.125539779663086,27.846358319262528,26.973788508168468,27.846358319262528,58437400
2000-03-01,27.56182861328125,28.5576964743943,26.992761264073792,27.201419292116526,106889800
2000-03-02,28.33954429626465,28.94654926111101,27.656663710812484,27.865321667478423,106932600
2000-03-03,29.174190521240234,30.00882275981928,28.49130959876647,28.756874401950714,101435200
2000-03-06,27.504919052124023,29.553561298764983,27.35316777459506,29.136245285560342,93609400
